Species,Sex,Type,Contra_Behavioural_N,Contra_InfectDisease_N,Contra_NonInfectDisease_N,Contra_ChronDisease_N,Contra_deathAtBirth_N,Contra_Multiple_N,Contra_Other_N,Contra_Total_N,noContra_Behavioural_N,noContra_InfectDisease_N,noContra_NonInfectDisease_N,noContra_ChronDisease_N,noContra_deathAtBirth_N,noContra_Multiple_N,noContra_Other_N,noContra_Total_N,Contra_Behavioural_Low,Contra_InfectDisease_Low,Contra_NonInfectDisease_Low,Contra_ChronDisease_Low,Contra_deathAtBirth_Low,Contra_Multiple_Low,Contra_Other_Low,noContra_Behavioural_Low,noContra_InfectDisease_Low,noContra_NonInfectDisease_Low,noContra_ChronDisease_Low,noContra_deathAtBirth_Low,noContra_Multiple_Low,noContra_Other_Low,Contra_Behavioural_Med,Contra_InfectDisease_Med,Contra_NonInfectDisease_Med,Contra_ChronDisease_Med,Contra_deathAtBirth_Med,Contra_Multiple_Med,Contra_Other_Med,noContra_Behavioural_Med,noContra_InfectDisease_Med,noContra_NonInfectDisease_Med,noContra_ChronDisease_Med,noContra_deathAtBirth_Med,noContra_Multiple_Med,noContra_Other_Med,Contra_Behavioural_Upp,Contra_InfectDisease_Upp,Contra_NonInfectDisease_Upp,Contra_ChronDisease_Upp,Contra_deathAtBirth_Upp,Contra_Multiple_Upp,Contra_Other_Upp,noContra_Behavioural_Upp,noContra_InfectDisease_Upp,noContra_NonInfectDisease_Upp,noContra_ChronDisease_Upp,noContra_deathAtBirth_Upp,noContra_Multiple_Upp,noContra_Other_Upp
Leptailurus serval,Female,Surgical,0,1,2,0,0,0,5,8,19,12,33,7,1,0,75,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptailurus serval,Male,Surgical,0,1,2,3,0,0,6,12,9,8,17,16,0,0,65,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lycaon pictus,Female,Hormonal,3,3,5,0,0,0,10,21,18,19,10,10,1,0,64,122,0.083333333,0.071428571,0.076923077,0,0,0,0.076923077,0.107975268,0.06283565,0.017241379,0.048260851,0.015873016,0,0.233857028,0.224358974,0.155844156,0.076923077,0,0,0,0.238461538,0.243520388,0.201123071,0.050055149,0.065256193,0.015873016,0,0.395953966,0.224358974,0.261363636,0.261538462,0,0,0,0.477802198,0.258353322,0.302898352,0.068681519,0.087511998,0.015873016,0,0.719331358
Lycaon pictus,Female,Surgical,2,1,5,2,0,0,9,19,19,21,10,8,1,0,65,124,0.071428571,0,0,0.083333333,0,0,0,0.12359006,0.078227796,0.01754386,0.032840722,0.016393443,0,0.246554227,0.071428571,0,0,0.083333333,0,0,0.0625,0.276506701,0.241127957,0.090516211,0.05180463,0.016393443,0,0.440298624,0.133333333,0.071428571,0.083333333,0.083333333,0,0,0.415584416,0.276506701,0.355386282,0.122997775,0.07675714,0.016393443,0,0.728090053
Lycaon pictus,Male,Hormonal,1,0,3,0,0,0,2,6,12,6,20,8,0,0,66,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx lynx,Male,Surgical,0,0,4,0,0,0,4,8,2,1,22,9,0,0,46,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx rufus,Female,Surgical,0,0,3,3,0,0,4,10,1,0,15,19,0,0,25,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx rufus,Male,Surgical,0,2,8,3,0,0,6,19,3,0,14,15,0,0,30,62,0,0.25,0,0.142857143,NA,0,0,0.113333333,0,0,0.066666667,NA,0,0.328995028,0,0.25,0,0.142857143,NA,0,0.076923077,0.14020202,0,0.074074074,0.126819127,NA,0,0.479344845,0,0.318181818,0.416607143,0.220779221,NA,0,0.282051282,0.14020202,0,0.352649845,0.343625969,NA,0,0.667308868
Macaca fascicularis,Female,Surgical,1,1,1,0,0,0,2,5,10,13,16,3,0,0,44,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,Male,Surgical,4,0,0,1,0,0,4,9,18,15,9,0,0,0,70,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
