Species,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp
Lycaon pictus,Female,Hormonal,79,328,1,7.030686072,0.241771593,7.472451601,0.540810198,-0.142949814,0.185559061,-0.526099122,0.203663366
Lycaon pictus,Female,Surgical,74,328,1,7.077833915,0.241151884,8.274277954,0.539613565,-0.398152933,0.194751652,-0.793293763,-0.026329558
Lycaon pictus,Male,Hormonal,30,312,5,5.140920219,0.151591481,5.053328995,0.512167965,0.048654895,0.280123049,-0.545188603,0.568828676
Lynx lynx,Male,Surgical,23,154,10,7.514070627,0.366967181,8.150577962,0.815426525,-0.199508841,0.263671637,-0.742208625,0.283362954
Lynx rufus,Female,Surgical,44,188,6,12.29930003,0.453039251,12.16415829,0.842507758,0.03688683,0.247745217,-0.459437465,0.513762236
Lynx rufus,Male,Surgical,76,233,2,14.12656452,0.540155328,16.50419671,0.774313379,-0.565701629,0.207394393,-0.985572604,-0.157102735
Macaca fascicularis,Male,Surgical,71,362,4,11.69228793,0.858676151,13.5504021,2.437011715,-0.170248251,0.225474096,-0.626470557,0.256217853
Macaca fascicularis,Male,Surgical,71,362,4,11.69228793,0.858676151,13.5504021,2.437011715,-0.170248251,0.225474096,-0.626470557,0.256217853
Macaca fuscata,Female,Hormonal,82,398,5,17.00712912,0.585559648,16.09026082,1.044915505,0.138908759,0.174242103,-0.206391132,0.481939298
Macaca fuscata,Male,Surgical,95,261,7,14.11263637,0.801103063,15.9609031,1.388940067,-0.225912024,0.190045572,-0.602172328,0.136562554
Macaca leonina,Male,Surgical,46,60,1,14.70195751,2.922338326,11.40044259,2.74248203,0.271866451,0.308095327,-0.347855732,0.871954201
Macaca mulatta,Male,Surgical,119,340,3,16.38176461,0.903382661,21.96327267,1.851788822,-0.650343743,0.23901841,-1.132497992,-0.198804248
Macaca nemestrina,Female,Hormonal,30,177,8,13.51140084,0.928431624,12.47584867,2.057573211,0.14058909,0.289555456,-0.433499863,0.66859584
Macaca nigra,Female,Hormonal,73,158,4,13.48337417,0.831720887,13.28705063,1.207315431,0.025580835,0.191177619,-0.347633918,0.406250222
Macaca nigra,Male,Surgical,58,150,4,10.86928813,0.743666956,8.971174905,1.119533606,0.297525498,0.209951838,-0.117435991,0.704068611
Macaca silenus,Female,Hormonal,80,305,4,16.55488237,0.740352285,17.39704065,1.688396073,-0.102412028,0.224332394,-0.552957356,0.331084437
Macaca silenus,Male,Hormonal,37,273,5,13.02883659,0.675760664,13.80206063,2.073524873,-0.096000057,0.277643012,-0.66022137,0.413783293
Macaca silenus,Male,Surgical,46,263,6,12.5427578,0.68790152,13.35847193,1.533502843,-0.106503406,0.209108522,-0.53196044,0.289357079
Macaca sylvanus,Female,Hormonal,237,494,3,12.92556641,0.517481353,15.12262075,0.833827462,-0.297579257,0.129795139,-0.551091929,-0.04369349
Macaca sylvanus,Male,Surgical,235,389,3,11.49603807,0.576870618,16.66805223,1.25421533,-0.628320664,0.14381352,-0.911891541,-0.351079284
Macropus fuliginosus,Male,Surgical,89,389,1,6.289492632,0.350261466,7.698245119,0.780957385,-0.285456524,0.172003649,-0.641000992,0.054980809
Macropus giganteus,Male,Surgical,91,425,4,6.567123573,0.30705988,7.934895639,0.604919647,-0.335833669,0.168831109,-0.667863596,-0.007354939
Mandrillus sphinx,Female,Hormonal,207,375,3,15.30973316,0.619365768,18.09524165,0.849732345,-0.383637674,0.136233492,-0.651341942,-0.119590116
Mandrillus sphinx,Male,Hormonal,38,370,3,12.52329915,0.56973987,12.09521489,1.615721534,0.067503074,0.253580715,-0.456338943,0.548550799
Mandrillus sphinx,Male,Surgical,81,393,2,13.19496231,0.555805682,13.60980586,1.090109755,-0.059801299,0.167921518,-0.398495677,0.258106853
Mephitis mephitis,Male,Surgical,113,375,2,5.097356704,0.135355615,4.896036512,0.23184279,0.104662151,0.135432356,-0.172042925,0.359205287
Mephitis mephitis,Male,Surgical,113,375,2,5.097356704,0.135355615,4.896036512,0.23184279,0.104662151,0.135432356,-0.172042925,0.359205287
Mungos mungo,Male,Surgical,48,710,1,9.39169809,0.27878079,8.017583752,1.048326515,0.312062,0.244527808,-0.192377756,0.763589792
Muntiacus reevesi,Male,Surgical,64,299,5,5.917894056,0.276185356,7.481944866,0.782700851,-0.394989329,0.201713565,-0.810233594,-0.016214969
Mustela nigripes,Female,Surgical,40,203,4,2.190070559,0.093282393,2.242504038,0.171035435,-0.060044417,0.210692613,-0.486772083,0.337716611
Mustela nigripes,Male,Surgical,52,423,3,2.612998826,0.077328851,2.663525676,0.169901714,-0.048960191,0.170325994,-0.377334474,0.284111313
Myocastor coypus,Male,Surgical,38,221,1,2.896149245,0.20307392,2.822415112,0.459628026,0.039164092,0.191238106,-0.34764971,0.393634547
Nasua narica,Male,Surgical,34,122,4,8.582960905,0.471674658,7.485377024,0.698612689,0.309345329,0.225494026,-0.13603927,0.740895731
Nasua nasua,Female,Hormonal,39,1056,5,7.132845965,0.138236664,6.997920679,0.6715759,0.045506964,0.208057844,-0.378584709,0.430889676
Nasua nasua,Female,Surgical,41,1428,1,9.820461116,0.152807978,9.468389387,0.867052672,0.090665943,0.219326666,-0.359982415,0.498930446
Nasua nasua,Male,Surgical,224,928,1,8.380677482,0.185926804,9.564580378,0.384255991,-0.290291127,0.102507365,-0.48329562,-0.089166233
Nomascus leucogenys,Female,Hormonal,50,66,9,25.0190951,2.24243748,25.10205392,2.628263473,-0.012306579,0.31134887,-0.621319658,0.589682276
Notamacropus parma,Male,Surgical,43,748,1,4.663582418,0.156440038,6.031584168,0.711682814,-0.382867536,0.197204042,-0.789798438,-0.010567137
Notamacropus rufogriseus,Male,Surgical,620,2869,1,5.432652995,0.105887846,6.39174938,0.25556146,-0.222406085,0.062100343,-0.345864918,-0.101025943
Octodon degus,Female,Hormonal,83,502,1,4.202189805,0.147513438,5.591185508,0.438574899,-0.51484236,0.161971996,-0.826356921,-0.199693242
Octodon degus,Male,Surgical,175,363,1,3.643349477,0.148331965,4.120331088,0.249562232,-0.199922084,0.11592746,-0.425092972,0.022957189
Odocoileus virginianus,Male,Surgical,39,270,1,8.004782209,0.530760818,11.60453691,1.666020074,-0.594448617,0.252030144,-1.100438368,-0.1297583
Oryctolagus cuniculus,Female,Surgical,42,493,1,4.624037289,0.179981294,5.759411617,0.643256386,-0.371502019,0.207374429,-0.784437966,0.02007897
Oryctolagus cuniculus,Male,Surgical,87,312,1,5.152574136,0.227136913,5.062281491,0.420366502,0.032119803,0.154974732,-0.275053303,0.323393745
Oryx dammah,Female,Hormonal,36,2407,3,10.69304922,0.141378331,11.2741883,1.138753803,-0.139127515,0.274493876,-0.729034101,0.368249385
Oryx dammah,Male,Surgical,172,1818,2,8.981865831,0.209645888,11.4130228,0.659770416,-0.495600311,0.137646406,-0.766079144,-0.233510403
Osphranter rufus,Male,Surgical,221,1959,1,5.70307174,0.119613069,6.925395656,0.34112419,-0.31493227,0.090527245,-0.49285686,-0.139207138
Ovis aries,Male,Surgical,58,558,1,7.842096295,0.295324538,7.569024628,0.76297833,0.06562726,0.19447735,-0.334744012,0.447401057
