"Species","meanRint","SEint","meanRcon","SEcon","leFemaleInt","SEleFemaleInt","leMaleInt","SEleMaleInt","leMaleCon","SEleMaleCon","NFemaleInt","NMaleInt","NMaleCon"
"Nasua nasua",-0.158222685676904,0.0271512470547758,-0.0270130024898898,0.0429432665125677,9.84550964539995,0.152805878807155,8.40575726432522,0.185922277473653,9.58964034082013,0.384249529444817,1428,928,224
"Octodon degus",-0.141995443413742,0.0533932828621597,-0.0207553136114074,0.0694947934139586,4.22730687467599,0.147503667349384,3.66847796514001,0.148322425965723,4.14543682195036,0.249549461798185,502,363,175
"Oryctolagus cuniculus",0.107458447263655,0.0591284245094645,0.0874208315797922,0.091213468334441,4.64916328076542,0.179970648612997,5.17769176370744,0.227124784659953,5.08740397907001,0.420346362821675,493,312,87
"Oryx dammah",-0.225103815892774,0.0272296368506321,0.0121445100070951,0.0589727927257441,10.7180770369584,0.141377410802398,8.55929917302802,0.201648797127589,10.8661991641033,0.628649786336846,2407,1818,172
"Pan troglodytes",-0.234454642714123,0.0512085173428331,0.0631765606842626,0.0716722421790793,28.3323357153057,0.914836946030394,22.4180769611969,0.918795900973759,30.226719771951,1.95207321397912,603,430,226
"Panthera leo",0.0487432566577353,0.0226561965994727,0.0216153820446192,0.037484025294004,11.7474502001875,0.192441965520747,12.334112917084,0.193837334347365,12.0093451736586,0.404731386463843,1307,1311,177
"Papio hamadryas",-0.146259917731257,0.0375355340450908,0.0261656070471236,0.0667244831033734,13.6427852821122,0.352552772611965,11.787199826441,0.332233574983196,14.0264492085218,0.864426421036912,979,945,179
"Papio papio",-0.0350353492794845,0.0786261062201853,-0.0940726198589389,0.147496483313345,14.7623260853394,0.751551703269399,14.2609142794297,0.850637958492152,13.549135720915,1.88369248139576,188,133,49
"Potamochoerus porcus",-0.00983430458204536,0.0450090332384703,0.160896632506565,0.0838112696865245,10.3469197074894,0.328436655306535,10.2459369130729,0.333516426398612,12.1833979571341,0.939695064344142,321,305,37
"Procyon lotor",-0.156717069003426,0.0342248007868484,0.0863159286128048,0.0434388584737243,10.5108221924319,0.223203701510755,8.98749238846748,0.244595963140226,11.4639532952056,0.43212245519718,1111,998,392
"Rattus norvegicus",-0.0338160288381712,0.0441965119477186,-0.0169136579121088,0.0963734401424011,1.31689915946106,0.0354938925581877,1.27342517248217,0.0445137725028126,1.29987319181044,0.120244651533349,647,355,42
"Saguinus oedipus",0.115761995460062,0.0311907609666255,0.163637392985748,0.0849338451069619,9.16132152983485,0.223559728304101,10.2846048201103,0.202240554069769,10.8219952914363,0.871464947273558,1254,1540,96
"Saimiri sciureus",-0.234056173229537,0.0353417160315823,0.194689063855663,0.0944481777112348,11.6499224414277,0.252290109944393,9.22011838006154,0.253881233889617,14.2108658924977,1.3087111855134,1726,1402,114
"Suricata suricatta",0.0706710621560213,0.0143743472294534,0.0993821091527986,0.0400114618187952,7.64792091979622,0.0855054869880095,8.2078059616043,0.0763061383071279,8.45286757702304,0.327803327569862,4132,4952,270
