"species","Female_Hormonal_Contra_N","Female_Hormonal_Contra_Mean","Female_Hormonal_Contra_SE","Female_Hormonal_NoContra_N","Female_Hormonal_NoContra_Mean","Female_Hormonal_NoContra_SE","Female_Surgical_Contra_N","Female_Surgical_Contra_Mean","Female_Surgical_Contra_SE","Female_Surgical_NoContra_N","Female_Surgical_NoContra_Mean","Female_Surgical_NoContra_SE","Male_Hormonal_Contra_N","Male_Hormonal_Contra_Mean","Male_Hormonal_Contra_SE","Male_Hormonal_NoContra_N","Male_Hormonal_NoContra_Mean","Male_Hormonal_NoContra_SE","Male_Surgical_Contra_N","Male_Surgical_Contra_Mean","Male_Surgical_Contra_SE","Male_Surgical_NoContra_N","Male_Surgical_NoContra_Mean","Male_Surgical_NoContra_SE"
"Pan troglodytes",359,32.8351993404152,1.38496467734637,659,32.1565793283119,0.920550588775473,49,32.244612313728,2.62254126499098,603,28.3072945826333,0.914841160044762,NA,NA,NA,NA,NA,NA,226,30.2017013802846,1.95207594401078,430,22.3930412707128,0.918798586183762
"Panthera leo",289,13.2166823603837,0.413486244179135,1307,11.7223925307547,0.192445434420993,152,12.486300908485,0.454559181162839,1307,11.6803570935191,0.194152405893692,NA,NA,NA,NA,NA,NA,177,13.0621286806615,0.474161759151281,1311,13.4395714793069,0.221480991947037
"Panthera onca",35,14.6054800827985,0.960340502858223,374,14.7564902105507,0.364323941119925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panthera tigris",NA,NA,NA,NA,NA,NA,43,12.220976770931,0.763718499338645,551,10.9307416154967,0.271077400647864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papio hamadryas",370,17.6200318316753,0.604841293926187,979,13.6177463115946,0.352554787697769,134,15.4954976959396,0.865418030578779,828,12.2754724315593,0.350808014356946,NA,NA,NA,NA,NA,NA,179,14.0014106609092,0.864431326342267,945,11.7621470316838,0.332236039774514
"Papio papio",41,15.151026559914,1.59067144042569,188,15.1539475887647,0.777002050081359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,13.5240794716826,1.88370958953251,133,14.2358670017354,0.85064248255479
"Pecari tajacu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,12.9846101639857,1.04275789655414,322,11.8494153094229,0.498729155972078
"Petaurus breviceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,6.66768261490149,0.514113308990237,848,7.06958016419035,0.211457424232764
"Phacochoerus africanus",51,9.59125386378137,0.676251818537138,230,9.19898429340368,0.341786609424306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pithecia pithecia",98,14.737187328546,1.54518708634265,183,12.0171888782632,0.92672479366023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pongo abelii",84,34.0093667415184,2.40679541714314,245,27.6539774251919,1.39924216926039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potamochoerus porcus",49,9.87183020710416,0.764880053662651,321,10.32187353358,0.328439836957073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,12.1583675773317,0.939703624023867,305,10.2208857239659,0.333521532684404
"Procavia capensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,4.94132412881343,0.52438827559231,372,4.34334799067129,0.195534491604247,NA,NA,NA,NA,NA,NA
"Procyon lotor",NA,NA,NA,NA,NA,NA,180,11.0189442001619,0.570693065504188,1111,10.485687264724,0.223213512989746,NA,NA,NA,NA,NA,NA,392,11.4388525908866,0.43213088501884,998,8.96232354634775,0.244606100761794
"Pteropus rodricensis",131,12.3090662156536,1.03505686162936,845,10.0601165904539,0.33065139877621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puma concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,9.156979807483,0.501659244107989,315,9.14907923260546,0.254327180146774
"Rangifer tarandus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,7.38055607715067,0.880466865867517,649,5.30979786789858,0.213543171397238
"Rattus norvegicus",NA,NA,NA,NA,NA,NA,34,1.48041432113028,0.189497704269486,647,1.29161272695094,0.0355091304653973,NA,NA,NA,NA,NA,NA,42,1.27460883628985,0.120287661304476,355,1.24815530989062,0.0445336363874655
"Rousettus aegyptiacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,7.38351642845251,0.648451273827902,985,9.05240013921011,0.250128084560784
"Saguinus bicolor",64,9.73842562331557,1.07881852444854,81,7.50968184735462,0.738576691881712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saguinus oedipus",216,10.6929980502568,0.627083230614703,1254,9.13620950650067,0.223564929157882,33,8.2447369449718,1.19842246607947,1254,9.13004668119638,0.235043948473604,37,9.27569566495101,1.211692502537,1257,9.49373004773584,0.194191842193007,96,10.7969396565298,0.871473687041622,1540,10.2595442209444,0.202243459582191
"Saimiri sciureus",74,14.2363068811239,1.41432973445394,1726,11.6248486552647,0.25229369063373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,14.1858223553655,1.30871860919954,1402,9.1950339090482,0.253884548001388
"Sapajus apella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18.2155219672058,1.89023161430905,793,20.5214946901863,0.768416632159671
"Suricata suricatta",263,8.36749050187372,0.309956640896435,4132,7.62287226892326,0.0855069265809815,67,6.65407995351933,0.491804770340618,2956,6.52704513673635,0.085380611773758,69,8.87980820626938,0.661381826242343,4952,8.18326089222373,0.0780295966656097,270,8.4278335729608,0.327806544043918,4952,8.18276970040646,0.0763072361538999
"Sus scrofa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8.26671375119174,1.02085043310821,269,8.44842740339027,0.384710865196156
"Symphalangus syndactylus",92,25.3439991507494,2.62900851414625,158,20.4226023662859,1.50163620838182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachypithecus cristatus",39,16.3342955294013,2.0612256098044,61,13.1139895043169,1.4167329616024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
