"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Lemur catta","Female","Surgical",31,2141,1,13.2072204153473,0.265283450592623,18.1130225333913,2.38499059932462,-0.655135750930557,0.319357303352289,-1.30313066591715,-0.0625161738977098
"Lemur catta","Male","Surgical",67,2239,2,12.9350362970979,0.289935492764775,14.8734915282864,1.60838514243388,-0.2600890811518,0.21462584277042,-0.72553958691046,0.13039694432159
"Leontopithecus rosalia","Female","Hormonal",41,467,2,8.62759530232543,0.323182409562647,10.1349734012236,1.34752585513127,-0.276671839999477,0.255255945502203,-0.81285166620292,0.198191918925258
"Lynx rufus","Male","Surgical",49,295,2,12.8961360527283,0.541693430353904,18.2073836047584,2.07830464729291,-0.936659426925133,0.352895813955186,-1.6705539612967,-0.286607186618493
"Macaca fascicularis","Female","Surgical",37,375,7,12.6889343159001,0.607712735338015,15.032485454623,1.79183507694767,-0.380055018212888,0.293504773633095,-0.994341546793129,0.145364018050675
"Macaca fascicularis","Male","Surgical",31,565,2,12.7351998016409,0.674544920701523,14.7166984131762,2.73756216028254,-0.220580013259385,0.308394290518486,-0.875023606128696,0.336484067364739
"Macaca fuscata","Male","Surgical",38,333,7,9.33606837846042,0.598509221820549,17.1324200110194,3.99915612424883,-0.954542075914025,0.428145903822482,-1.84483836497893,-0.189086331661152
"Macaca silenus","Male","Surgical",31,325,6,17.1630975905571,0.698996349295014,19.7768824331627,2.91145058306108,-0.360158753192752,0.411364820808933,-1.24440609389074,0.377372818302792
"Macropus giganteus","Male","Surgical",44,507,1,5.42343158990263,0.347199685335724,10.4932801449233,2.13803405095666,-0.806957748133819,0.234862832942105,-1.29299903491932,-0.376095829330321
"Mandrillus sphinx","Female","Hormonal",37,590,3,13.4957758276743,0.445271337279813,24.2624439028823,3.78777971757039,-1.34914592989176,0.443715451815434,-2.2672531440887,-0.550726410583528
"Mandrillus sphinx","Male","Surgical",36,550,2,13.7909867140888,0.496876301992756,12.5193627647338,2.04767114885928,0.192990928563204,0.310004440615591,-0.43655340762539,0.757204998172956
"Mustela putorius","Male","Surgical",36,218,1,4.68084678900963,0.190510055837888,4.43007694246086,0.357125069374747,0.13875838297129,0.211827720218607,-0.2882824458711,0.523646912751689
