"Ages","ple","event","type","sex","species","ctype","order","minAge"
7.02996333333331,0.839192256907964,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.16863666666667,0.835495374718942,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.17954999999996,0.83179849252992,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.35000000000014,0.828134181990141,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.3900000000001,0.824469871450361,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.48000000000002,0.824469871450361,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.52999999999997,0.824469871450361,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.55493000000009,0.824469871450361,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.56000000000017,0.824469871450361,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.60326333333325,0.820805560910582,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.6400000000001,0.820805560910582,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.6400000000001,0.820805560910582,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.6400000000001,0.817205536520623,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.68996333333339,0.813636953391712,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.69561333333338,0.813636953391712,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.71000000000004,0.810068370262801,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.73000000000002,0.80651543881428,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.74000000000001,0.80651543881428,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.74000000000001,0.80651543881428,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.82000000000016,0.802946786430146,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
