"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Erythrocebus patas","Female","Hormonal",44,305,5,11.9436242996808,0.507628297854819,13.9129488515047,1.35316334579374,-0.329663164907805,0.235494359084641,-0.801556702420953,0.117328369945939
"Erythrocebus patas","Male","Surgical",36,233,3,10.9120065989675,0.650695627162812,10.2234904587139,1.41170087654268,0.108245434270117,0.229812202931731,-0.356018898440769,0.538079471295331
"Eudorcas thomsonii","Male","Surgical",56,358,1,5.15030594442817,0.28624509496627,7.96898102014143,0.848589805395824,-0.630850613675342,0.190595354292368,-1.01209368924317,-0.264825070060251
"Eulemur macaco","Female","Hormonal",44,131,4,11.0519032942607,0.831479391503868,15.2855769094323,2.01853321410443,-0.569189012828424,0.274220781102452,-1.14290264846709,-0.074507982698996
"Felis catus","Male","Surgical",76,476,1,12.37283555162,0.690607294708154,12.7483018089391,1.41411508843275,-0.0571226571999007,0.259142611902964,-0.575194183008832,0.436845441979326
"Giraffa camelopardalis","Female","Hormonal",48,362,6,11.2784810784408,0.437269763503699,16.4563692836532,1.6223278169284,-0.906080451861608,0.290977265820171,-1.5232914655455,-0.35516084504682
"Hemitragus jemlahicus","Male","Surgical",36,298,1,7.43743998902878,0.408633762846795,7.15389915240642,0.987114390022044,0.0601516784352328,0.215317714732845,-0.38368682559488,0.462146569651215
"Hydrochoerus hydrochaeris","Female","Hormonal",41,1867,1,6.09365582560836,0.108185121925107,5.71140329563656,0.596602651832945,0.118222471529384,0.1849086896608,-0.259632435254068,0.465287922519051
"Hydrochoerus hydrochaeris","Male","Surgical",121,1513,1,5.59346463557158,0.122841421621808,5.49128924936807,0.381611957293485,0.0307666276374283,0.11792233310938,-0.206037767253125,0.25213071548585
"Kobus megaceros","Male","Surgical",70,332,2,6.25889785963947,0.32828013634179,7.20554916080533,0.763622262933466,-0.205170492088029,0.177414270779701,-0.552703111305449,0.133529583525242
"Lama glama","Male","Surgical",219,1320,1,14.0444515450259,0.373984111967708,13.0100834894442,0.782204883134064,0.153885450131075,0.129302933695983,-0.109451560420703,0.401187526249656
"Lama guanicoe","Male","Surgical",52,346,2,11.6540051126408,0.642588607501737,11.68687687275,1.60800622355648,-0.00175440887566312,0.210213354180746,-0.432716306433208,0.385390244242309
"Lemur catta","Female","Hormonal",485,3377,2,14.7455198475463,0.22464254330873,16.4421080140873,0.681836922841081,-0.230142001840037,0.097518920854727,-0.424372083074864,-0.0405516231167229
"Lemur catta","Female","Surgical",61,3810,1,15.0286911277665,0.220301452354858,14.8811229036412,1.4782934874016,0.018539683438889,0.192283557902068,-0.364244083778355,0.371553084723371
"Lemur catta","Male","Surgical",429,3789,2,15.6969287677489,0.227738867799991,17.3037363742333,0.825961483783377,-0.207623199218985,0.110386012158581,-0.431435557732406,-0.000392923826626656
"Leontopithecus chrysomelas","Female","Hormonal",87,346,2,8.60367952559185,0.354307810472309,10.6348559363533,0.775339089504891,-0.406810768188395,0.163401665696997,-0.732862717246644,-0.101598534228303
"Leontopithecus rosalia","Female","Hormonal",164,280,2,8.35310972619263,0.378897384317409,10.2499982008049,0.535040018310307,-0.404032631015749,0.131678939679717,-0.663558789920583,-0.142719351729875
"Leptailurus serval","Female","Hormonal",39,516,1,12.3742445335812,0.416561406501224,11.3734461089543,1.3857565387696,0.1809600743344,0.257310553986196,-0.333542471102739,0.673691325248819
"Leptailurus serval","Female","Surgical",38,516,1,12.3522894094465,0.423392714927815,14.3812515664159,1.44105799822641,-0.37878854677415,0.27770453707442,-0.944996334732674,0.144929469654081
"Leptailurus serval","Male","Surgical",62,439,3,11.3625841442701,0.347882447793068,13.5964976531055,0.772401900881311,-0.517541846793198,0.194502470013337,-0.913976643446207,-0.142367809466818
