species,Species,Solitary,Social monogamy,Group living,Paternal Care,Testesmass,Bodymass,common,Class,Order,Family,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp,unknown
Lynx lynx,Lynx lynx,Yes,No,No,No,6.13,17833,Eurasian lynx,Mammalia,Carnivora,Felidae,Male,Surgical,23,154,10,7.514070627,0.366967181,8.150577962,0.815426525,-0.199508841,0.263671637,-0.742208625,0.283362954,1.084708724
Ursus americanus,Ursus americanus,Yes,No,No,No,56,125000,North American black bear,Mammalia,Carnivora,Ursidae,Male,Surgical,71,235,2,18.10743142,0.722115553,19.68598543,1.338867828,-0.25305516,0.234966282,-0.738236434,0.190827057,1.087177136
Didelphis virginiana,Didelphis virginiana,Yes,No,No,No,3,3750,Virginia opossum,Mammalia,Didelphimorphia,Didelphidae,Male,Surgical,54,389,1,1.564035544,0.053818832,1.71173772,0.123700506,-0.173302513,0.155299616,-0.478226865,0.1223617,1.094436585
Pecari tajacu,Pecari tajacu,No,No,Yes,No,11.3,12300,Collared peccary,Mammalia,Artiodactyla,Tayassuidae,Male,Surgical,77,322,5,11.84941531,0.498729156,12.98461016,1.042757897,-0.202828323,0.206180844,-0.619338975,0.189981564,1.095801761
Dolichotis patagonum,Dolichotis patagonum,No,No,Yes,No,NA,NA,Patagonian mara,Mammalia,Rodentia,Caviidae,Male,Surgical,107,1744,1,5.302533206,0.134934991,5.812551468,0.572544077,-0.118364687,0.136990773,-0.390938588,0.134955553,1.096183888
Lemur catta,Lemur catta,No,No,Yes,No,17.8,2700,Ring-tailed lemur,Mammalia,Primates,Lemuridae,Male,Surgical,429,3789,2,15.69692877,0.227738868,17.30373637,0.825961484,-0.207623199,0.110386012,-0.431435558,-0.000392924,1.102364458
Cervus elaphus,Cervus elaphus,No,No,Yes,No,217,121800,Red deer,Mammalia,Artiodactyla,Cervidae,Male,Surgical,40,491,1,7.331314392,0.416337784,8.131355317,1.147272127,-0.130404582,0.200573092,-0.534696727,0.247877592,1.109126533
Eidolon helvum,Eidolon helvum,No,No,Yes,No,5.5,325,African straw-coloured fruit bat,Mammalia,Chiroptera,Pteropodidae,Male,Surgical,164,493,1,14.04718715,0.414996623,15.74689838,0.756489046,-0.290911843,0.142281762,-0.572636026,-0.029585643,1.121000113
Octodon degus,Octodon degus,No,No,Yes,No,2.16,161.6119493,Degu,Mammalia,Rodentia,Octodontidae,Male,Surgical,175,363,1,3.643349477,0.148331965,4.120331088,0.249562232,-0.199922084,0.11592746,-0.425092972,0.022957189,1.130918435
Macaca fuscata,Macaca fuscata,No,No,Yes,No,72.3,15400,Japanese macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,95,261,7,14.11263637,0.801103063,15.9609031,1.388940067,-0.225912024,0.190045572,-0.602172328,0.136562554,1.130965376
Canis latrans,Canis latrans,No,Yes,No,Yes,22.26,11400,Coyote,Mammalia,Carnivora,Canidae,Male,Surgical,51,150,2,10.16023563,0.446833667,11.5510251,0.617268161,-0.460909408,0.227858461,-0.909769186,-0.024884382,1.136885553
Addax nasomaculatus,Addax nasomaculatus,No,No,Yes,No,43.2,117000,Addax,Mammalia,Artiodactyla,Bovidae,Male,Surgical,82,844,2,7.717151473,0.255251107,8.783263957,0.705458551,-0.219768736,0.152529154,-0.526301561,0.067571891,1.138148446
Nasua nasua,Nasua nasua,No,No,Yes,No,4.84,4400,Brown-nosed coati,Mammalia,Carnivora,Procyonidae,Male,Surgical,224,928,1,8.380677482,0.185926804,9.564580378,0.384255991,-0.290291127,0.102507365,-0.48329562,-0.089166233,1.141265775
Chinchilla lanigera,Chinchilla lanigera,Yes,No,No,No,5.2,422.3,Long-tailed chinchilla,Mammalia,Rodentia,Chinchillidae,Male,Surgical,34,679,0,6.423615157,0.309058702,7.389486657,1.383962523,-0.158457659,0.234139386,-0.624144352,0.290685111,1.150362604
Kobus megaceros,NA,NA,NA,NA,NA,52,105500,Nile lechwe,Mammalia,Artiodactyla,Bovidae,Male,Surgical,70,332,2,6.25889786,0.328280136,7.205549161,0.763622263,-0.205170492,0.177414271,-0.552703111,0.133529584,1.151248882
Bison bison,Bison bison,No,No,Yes,No,523.6,731400,American bison,Mammalia,Artiodactyla,Bovidae,Male,Surgical,83,624,2,10.62544941,0.406090319,12.2353497,0.953334004,-0.256964311,0.161492888,-0.584267936,0.06113619,1.151513619
Macaca fascicularis,Macaca fascicularis,No,No,Yes,No,35.2,4420,Crab-eating macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,71,362,4,11.69228793,0.858676151,13.5504021,2.437011715,-0.170248251,0.225474096,-0.626470557,0.256217853,1.158917928
Lynx rufus,Lynx rufus,Yes,No,No,No,2.14,10450,Bobcat,Mammalia,Carnivora,Felidae,Male,Surgical,76,233,2,14.12656452,0.540155328,16.50419671,0.774313379,-0.565701629,0.207394393,-0.985572604,-0.157102735,1.1683093
Tragelaphus strepsiceros,Tragelaphus strepsiceros,No,No,Yes,No,92,248000,Greater kudu,Mammalia,Artiodactyla,Bovidae,Male,Surgical,43,476,2,4.753296271,0.184165498,5.564772004,0.658394139,-0.234481152,0.190578209,-0.632928089,0.124018371,1.170718526
Notamacropus rufogriseus,NA,NA,NA,NA,NA,NA,NA,Red-necked wallaby,Mammalia,Diprotodontia,Macropodidae,Male,Surgical,620,2869,1,5.432652995,0.105887846,6.39174938,0.25556146,-0.222406085,0.062100343,-0.345864918,-0.101025943,1.176542913
Potamochoerus porcus,Potamochoerus porcus,No,No,Yes,No,NA,NA,Red River hog,Mammalia,Artiodactyla,Suidae,Male,Surgical,37,305,2,10.22088572,0.333521533,12.15836758,0.939703624,-0.559323988,0.300698963,-1.183742763,-0.008544573,1.189561053
