species,Female_Hormonal_Contra_N,Female_Hormonal_Contra_Mean,Female_Hormonal_Contra_SE,Female_Hormonal_NoContra_N,Female_Hormonal_NoContra_Mean,Female_Hormonal_NoContra_SE,Female_Surgical_Contra_N,Female_Surgical_Contra_Mean,Female_Surgical_Contra_SE,Female_Surgical_NoContra_N,Female_Surgical_NoContra_Mean,Female_Surgical_NoContra_SE,Male_Hormonal_Contra_N,Male_Hormonal_Contra_Mean,Male_Hormonal_Contra_SE,Male_Hormonal_NoContra_N,Male_Hormonal_NoContra_Mean,Male_Hormonal_NoContra_SE,Male_Surgical_Contra_N,Male_Surgical_Contra_Mean,Male_Surgical_Contra_SE,Male_Surgical_NoContra_N,Male_Surgical_NoContra_Mean,Male_Surgical_NoContra_SE
Lama guanicoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,11.68687687,1.608006224,346,11.65400511,0.642588608
Lemur catta,485,16.44210801,0.681836923,3377,14.74551985,0.224642543,61,14.8811229,1.478293487,3810,15.02869113,0.220301452,NA,NA,NA,NA,NA,NA,429,17.30373637,0.825961484,3789,15.69692877,0.227738868
Leontopithecus chrysomelas,87,10.63485594,0.77533909,346,8.603679526,0.35430781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,164,10.2499982,0.535040018,280,8.353109726,0.378897384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptailurus serval,39,11.37344611,1.385756539,516,12.37424453,0.416561407,38,14.38125157,1.441057998,516,12.35228941,0.423392715,NA,NA,NA,NA,NA,NA,62,13.59649765,0.772401901,439,11.36258414,0.347882448
Lycaon pictus,79,7.472451601,0.540810198,328,7.030686072,0.241771593,74,8.274277954,0.539613565,328,7.077833915,0.241151884,30,5.053328995,0.512167965,312,5.140920219,0.151591481,NA,NA,NA,NA,NA,NA
Lynx lynx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,8.150577962,0.815426525,154,7.514070627,0.366967181
Lynx rufus,NA,NA,NA,NA,NA,NA,44,12.16415829,0.842507758,188,12.29930003,0.453039251,NA,NA,NA,NA,NA,NA,76,16.50419671,0.774313379,233,14.12656452,0.540155328
Macaca fascicularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,13.5504021,2.437011715,362,11.69228793,0.858676151
Macaca fuscata,82,16.09026082,1.044915505,398,17.00712912,0.585559648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,15.9609031,1.388940067,261,14.11263637,0.801103063
Macaca leonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,11.40044259,2.74248203,60,14.70195751,2.922338326
Macaca mulatta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,21.96327267,1.851788822,340,16.38176461,0.903382661
Macaca nemestrina,30,12.47584867,2.057573211,177,13.51140084,0.928431624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nigra,73,13.28705063,1.207315431,158,13.48337417,0.831720887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,8.971174905,1.119533606,150,10.86928813,0.743666956
Macaca silenus,80,17.39704065,1.688396073,305,16.55488237,0.740352285,NA,NA,NA,NA,NA,NA,37,13.80206063,2.073524873,273,13.02883659,0.675760664,46,13.35847193,1.533502843,263,12.5427578,0.68790152
Macaca sylvanus,237,15.12262075,0.833827462,494,12.92556641,0.517481353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,16.66805223,1.25421533,389,11.49603807,0.576870618
Macropus fuliginosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,7.698245119,0.780957385,389,6.289492632,0.350261466
Macropus giganteus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,7.934895639,0.604919647,425,6.567123573,0.30705988
Mandrillus sphinx,207,18.09524165,0.849732345,375,15.30973316,0.619365768,NA,NA,NA,NA,NA,NA,38,12.09521489,1.615721534,370,12.52329915,0.56973987,81,13.60980586,1.090109755,393,13.19496231,0.555805682
Mephitis mephitis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,4.896036512,0.23184279,375,5.097356704,0.135355615
Mungos mungo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,8.017583752,1.048326515,710,9.39169809,0.27878079
Muntiacus reevesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,7.481944866,0.782700851,299,5.917894056,0.276185356
Mustela nigripes,NA,NA,NA,NA,NA,NA,40,2.242504038,0.171035435,203,2.190070559,0.093282393,NA,NA,NA,NA,NA,NA,52,2.663525676,0.169901714,423,2.612998826,0.077328851
Myocastor coypus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,2.822415112,0.459628026,221,2.896149245,0.20307392
Nasua narica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,7.485377024,0.698612689,122,8.582960905,0.471674658
Nasua nasua,39,6.997920679,0.6715759,1056,7.132845965,0.138236664,41,9.468389387,0.867052672,1428,9.820461116,0.152807978,NA,NA,NA,NA,NA,NA,224,9.564580378,0.384255991,928,8.380677482,0.185926804
Nomascus leucogenys,50,25.10205392,2.628263473,66,25.0190951,2.24243748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus parma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,6.031584168,0.711682814,748,4.663582418,0.156440038
Notamacropus rufogriseus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,6.39174938,0.25556146,2869,5.432652995,0.105887846
Octodon degus,83,5.591185508,0.438574899,502,4.202189805,0.147513438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,4.120331088,0.249562232,363,3.643349477,0.148331965
Odocoileus virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,11.60453691,1.666020074,270,8.004782209,0.530760818
Oryctolagus cuniculus,NA,NA,NA,NA,NA,NA,42,5.759411617,0.643256386,493,4.624037289,0.179981294,NA,NA,NA,NA,NA,NA,87,5.062281491,0.420366502,312,5.152574136,0.227136913
Oryx dammah,36,11.2741883,1.138753803,2407,10.69304922,0.141378331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,11.4130228,0.659770416,1818,8.981865831,0.209645888
Osphranter rufus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,6.925395656,0.34112419,1959,5.70307174,0.119613069
Ovis aries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,7.569024628,0.76297833,558,7.842096295,0.295324538
Pan troglodytes,359,32.83519934,1.384964677,659,32.15657933,0.920550589,49,32.24461231,2.622541265,603,28.30729458,0.91484116,NA,NA,NA,NA,NA,NA,226,30.20170138,1.952075944,430,22.39304127,0.918798586
Panthera leo,289,13.21668236,0.413486244,1307,11.72239253,0.192445434,152,12.48630091,0.454559181,1307,11.68035709,0.194152406,NA,NA,NA,NA,NA,NA,177,13.06212868,0.474161759,1311,13.43957148,0.221480992
Panthera onca,35,14.60548008,0.960340503,374,14.75649021,0.364323941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera tigris,NA,NA,NA,NA,NA,NA,43,12.22097677,0.763718499,551,10.93074162,0.271077401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio hamadryas,370,17.62003183,0.604841294,979,13.61774631,0.352554788,134,15.4954977,0.865418031,828,12.27547243,0.350808014,NA,NA,NA,NA,NA,NA,179,14.00141066,0.864431326,945,11.76214703,0.33223604
Papio papio,41,15.15102656,1.59067144,188,15.15394759,0.77700205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,13.52407947,1.88370959,133,14.235867,0.850642483
Pecari tajacu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,12.98461016,1.042757897,322,11.84941531,0.498729156
Petaurus breviceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,6.667682615,0.514113309,848,7.069580164,0.211457424
Phacochoerus africanus,51,9.591253864,0.676251819,230,9.198984293,0.341786609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithecia pithecia,98,14.73718733,1.545187086,183,12.01718888,0.926724794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo abelii,84,34.00936674,2.406795417,245,27.65397743,1.399242169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potamochoerus porcus,49,9.871830207,0.764880054,321,10.32187353,0.328439837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,12.15836758,0.939703624,305,10.22088572,0.333521533
Procavia capensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,4.941324129,0.524388276,372,4.343347991,0.195534492,NA,NA,NA,NA,NA,NA
Procyon lotor,NA,NA,NA,NA,NA,NA,180,11.0189442,0.570693066,1111,10.48568726,0.223213513,NA,NA,NA,NA,NA,NA,392,11.43885259,0.432130885,998,8.962323546,0.244606101
Pteropus rodricensis,131,12.30906622,1.035056862,845,10.06011659,0.330651399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puma concolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,9.156979807,0.501659244,315,9.149079233,0.25432718
Rangifer tarandus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,7.380556077,0.880466866,649,5.309797868,0.213543171
Rattus norvegicus,NA,NA,NA,NA,NA,NA,34,1.480414321,0.189497704,647,1.291612727,0.03550913,NA,NA,NA,NA,NA,NA,42,1.274608836,0.120287661,355,1.24815531,0.044533636
Rousettus aegyptiacus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,7.383516428,0.648451274,985,9.052400139,0.250128085
Saguinus bicolor,64,9.738425623,1.078818524,81,7.509681847,0.738576692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus oedipus,216,10.69299805,0.627083231,1254,9.136209507,0.223564929,33,8.244736945,1.198422466,1254,9.130046681,0.235043948,37,9.275695665,1.211692503,1257,9.493730048,0.194191842,96,10.79693966,0.871473687,1540,10.25954422,0.20224346
Saimiri sciureus,74,14.23630688,1.414329734,1726,11.62484866,0.252293691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,14.18582236,1.308718609,1402,9.195033909,0.253884548
Sapajus apella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18.21552197,1.890231614,793,20.52149469,0.768416632
Suricata suricatta,263,8.367490502,0.309956641,4132,7.622872269,0.085506927,67,6.654079954,0.49180477,2956,6.527045137,0.085380612,69,8.879808206,0.661381826,4952,8.183260892,0.078029597,270,8.427833573,0.327806544,4952,8.1827697,0.076307236
Sus scrofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8.266713751,1.020850433,269,8.448427403,0.384710865
Symphalangus syndactylus,92,25.34399915,2.629008514,158,20.42260237,1.501636208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus cristatus,39,16.33429553,2.06122561,61,13.1139895,1.416732962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachypithecus francoisi,59,12.95148905,1.381416207,55,12.15478989,1.372261986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragelaphus oryx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,9.504227563,0.66051101,1084,7.01881284,0.217136361
Tragelaphus strepsiceros,35,6.727814338,0.743447391,649,6.714818989,0.189653051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,5.564772004,0.658394139,476,4.753296271,0.184165498
Ursus americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,19.68598543,1.338867828,235,18.10743142,0.722115553
Ursus arctos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,21.77299269,1.742178752,206,23.53132524,0.966800344
Varecia rubra,160,17.40398513,1.025495746,397,16.24916455,0.568646196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vicugna pacos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,11.87485003,0.620693703,820,12.23426116,0.291331458
Vulpes lagopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,6.192996768,0.705428661,206,6.073525627,0.284688447
Vulpes vulpes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,12.12622748,1.112778264,466,9.264432242,0.29571312
Vulpes zerda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,6.240258921,0.519112113,478,7.367934832,0.17776294
Zalophus californianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,10.91315172,1.144904903,296,12.48344459,0.506133562
