species,order,phylogeny,sex,type,yi,vi,obs_id,sex_type
Rousettus aegyptiacus,Chiroptera,Rousettus_aegyptiacus,male,surgical,-0.4289495008775383,0.004582785740464905,126,male_surgical
Saguinus oedipus,Primates,Saguinus_oedipus,male,surgical,0.11310558299258189,0.012296349915891023,127,male_surgical
Saimiri boliviensis,Primates,Saimiri_boliviensis,male,surgical,-0.17509500745024398,0.02027497413778663,128,male_surgical
Saimiri sciureus,Primates,Saimiri_sciureus,male,surgical,0.34566847624770786,0.01935248408206799,129,male_surgical
Sapajus apella,Primates,Sapajus_apella,male,surgical,-0.04382635183476993,0.01046684493264234,130,male_surgical
Sapajus xanthosternos,Primates,Sapajus_xanthosternos,male,surgical,0.45893470019173943,0.19721501094302119,131,male_surgical
Suricata suricatta,Carnivora,Suricata_suricatta,male,surgical,0.01250751784900602,0.0021670169008020084,132,male_surgical
Sus scrofa,Artiodactyla,Sus_scrofa,male,surgical,0.1742841668472363,0.004112420608922468,133,male_surgical
Tapirus terrestris,Perissodactyla,Tapirus_terrestris,male,surgical,0.19482758415075277,0.0663372812237278,134,male_surgical
Tragelaphus angasii,Artiodactyla,Tragelaphus_angasii,male,surgical,0.10995960993659087,0.040270892600965384,135,male_surgical
Tragelaphus oryx,Artiodactyla,Tragelaphus_oryx,male,surgical,0.14246341123423756,0.004404068625212778,136,male_surgical
Tragelaphus strepsiceros,Artiodactyla,Tragelaphus_strepsiceros,male,surgical,-0.03256277854167336,0.01767092291428776,137,male_surgical
Ursus americanus,Carnivora,Ursus_americanus,male,surgical,0.0812128365015071,0.0051162352840896175,138,male_surgical
Ursus arctos,Carnivora,Ursus_arctos,male,surgical,0.05536689282886199,0.005958848295697405,139,male_surgical
Varecia variegata,Primates,Varecia_variegata,male,surgical,0.11570052230187211,0.010291821394269346,140,male_surgical
Vicugna pacos,Artiodactyla,Vicugna_pacos,male,surgical,0.06755721812508599,0.004100119169387337,141,male_surgical
Vicugna vicugna,Artiodactyla,Vicugna_vicugna,male,surgical,0.20447894992534058,0.05673147134283916,142,male_surgical
Vulpes lagopus,Carnivora,Vulpes_lagopus,male,surgical,0.09054064316798116,0.01627119277215037,143,male_surgical
Vulpes vulpes,Carnivora,Vulpes_vulpes,male,surgical,0.15490679023730689,0.010684499301998185,144,male_surgical
Vulpes zerda,Carnivora,Vulpes_zerda,male,surgical,-0.11664619743212985,0.008043904526852587,145,male_surgical
Wallabia bicolor,Diprotodontia,Wallabia_bicolor,male,surgical,1.184379433814282,0.07273336014194448,146,male_surgical
Zalophus californianus,Carnivora,Zalophus_californianus,male,surgical,0.08258988939208274,0.006884947003329923,147,male_surgical
Ailurus fulgens,Carnivora,Ailurus_fulgens,female,hormonal,-0.16484546277319276,0.009311808771294464,148,female_hormonal
Alouatta caraya,Primates,Alouatta_caraya,female,hormonal,0.44499663797859496,0.013857834542660711,149,female_hormonal
Aonyx cinerea,Carnivora,Aonyx_cinerea,female,hormonal,0.1764752255503531,0.00805901485550964,150,female_hormonal
Ateles fusciceps,Primates,Ateles_fusciceps,female,hormonal,0.24727149689959071,0.13170590074301602,151,female_hormonal
Ateles geoffroyi,Primates,Ateles_geoffroyi,female,hormonal,0.06952880532212974,0.02780679488542844,152,female_hormonal
Axis axis,Artiodactyla,Axis_axis,female,hormonal,-0.0914361249413971,0.01740153681954835,153,female_hormonal
Callimico goeldii,Primates,Callimico_goeldii,female,hormonal,-0.07257766505586588,0.026096212748350063,154,female_hormonal
Callithrix geoffroyi,Primates,Callithrix_geoffroyi,female,hormonal,-0.06919544135320371,0.016721306944668276,155,female_hormonal
Callithrix jacchus,Primates,Callithrix_jacchus,female,hormonal,0.06113878006656294,0.01812417734429468,156,female_hormonal
Canis lupus,Carnivora,Canis_lupus,female,hormonal,-0.3396435171726069,0.01132098629923005,157,female_hormonal
Capra hircus,Artiodactyla,Capra_hircus,female,hormonal,-0.1015252676723872,0.02230643021479784,158,female_hormonal
Cebuella pygmaea,Primates,Cebuella_pygmaea,female,hormonal,0.24983952668082138,0.048973930661369874,159,female_hormonal
Cercopithecus neglectus,Primates,Cercopithecus_neglectus,female,hormonal,0.23127371547444683,0.05304168081283504,160,female_hormonal
Cervus canadensis,Artiodactyla,Cervus_canadensis,female,hormonal,0.009376071635195842,0.011409674477894606,161,female_hormonal
Colobus angolensis,Primates,Colobus_angolensis,female,hormonal,0.4216697392337581,0.11799723993623143,162,female_hormonal
Colobus guereza,Primates,Colobus_guereza,female,hormonal,0.4634985390890008,0.01084772376219394,163,female_hormonal
Erythrocebus patas,Primates,Erythrocebus_patas,female,hormonal,0.04553386207623755,0.01633399043511328,164,female_hormonal
Eulemur coronatus,Primates,Eulemur_coronatus,female,hormonal,0.3308450995382708,0.012195149202328979,165,female_hormonal
Eulemur macaco,Primates,Eulemur_macaco,female,hormonal,0.5105913348082906,0.04332360613591214,166,female_hormonal
Eulemur rubriventer,Primates,Eulemur_rubriventer,female,hormonal,0.034851259089538754,0.09368537972519284,167,female_hormonal
Giraffa camelopardalis,Artiodactyla,Giraffa_camelopardalis,female,hormonal,0.19813898594617776,0.006453245010190297,168,female_hormonal
Gorilla gorilla,Primates,Gorilla_gorilla,female,hormonal,0.3585873859334735,0.02062131287125464,169,female_hormonal
Hippopotamus amphibius,Artiodactyla,Hippopotamus_amphibius,female,hormonal,0.48908158690653,0.09116423496294332,170,female_hormonal
Hydrochoerus hydrochaeris,Rodentia,Hydrochoerus_hydrochaeris,female,hormonal,0.014939252063810617,0.03366306338322106,171,female_hormonal
Hylobates lar,Primates,Hylobates_lar,female,hormonal,0.12420871656192096,0.04267522654052958,172,female_hormonal
Lemur catta,Primates,Lemur_catta,female,hormonal,0.1892090610343176,0.0037611239582772565,173,female_hormonal
Leontopithecus chrysomelas,Primates,Leontopithecus_chrysomelas,female,hormonal,0.33294095951570696,0.012835875805628628,174,female_hormonal
Leontopithecus rosalia,Primates,Leontopithecus_rosalia,female,hormonal,0.14910560867844674,0.008392742984723232,175,female_hormonal
Lycaon pictus,Carnivora,Lycaon_pictus,female,hormonal,-0.21524878747168572,0.01119956562679637,176,female_hormonal
Lynx lynx,Carnivora,Lynx_lynx,female,hormonal,0.15257098270773742,0.02656744029633887,177,female_hormonal
Macaca fascicularis,Primates,Macaca_fascicularis,female,hormonal,-0.10734328824143803,0.020917223953788564,178,female_hormonal
Macaca fuscata,Primates,Macaca_fuscata,female,hormonal,0.10047985453640088,0.006025954369674416,179,female_hormonal
Macaca nigra,Primates,Macaca_nigra,female,hormonal,-0.062472433726732994,0.016409114738119145,180,female_hormonal
Macaca silenus,Primates,Macaca_silenus,female,hormonal,0.06133308471964439,0.019730370637067826,181,female_hormonal
Macaca sylvanus,Primates,Macaca_sylvanus,female,hormonal,0.2166631803935255,0.007639958965938614,182,female_hormonal
Macaca tonkeana,Primates,Macaca_tonkeana,female,hormonal,-0.4354549862523127,0.050874690390980457,183,female_hormonal
