"species","Female_None_N","Female_None_Mean","Female_None_SE","Female_Hormonal_N","Female_Hormonal_Mean","Female_Hormonal_SE","Female_Surgical_N","Female_Surgical_Mean","Female_Surgical_SE","Male_None_N","Male_None_Mean","Male_None_SE","Male_Surgical_N","Male_Surgical_Mean","Male_Surgical_SE","Male_Hormonal_N","Male_Hormonal_Mean","Male_Hormonal_SE"
"Rangifer tarandus",NA,NA,NA,NA,NA,NA,NA,NA,NA,649,5.30979786789858,0.213543171397238,48,7.38055607715067,0.880466865867517,NA,NA,NA
"Rattus norvegicus",647,1.29161272695094,0.0355091304653973,NA,NA,NA,34,1.48041432113028,0.189497704269486,355,1.24815530989062,0.0445336363874655,42,1.27460883628985,0.120287661304476,NA,NA,NA
"Rousettus aegyptiacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,985,9.05240013921011,0.250128084560784,76,7.38351642845251,0.648451273827902,NA,NA,NA
"Saguinus bicolor",81,7.50968184735462,0.738576691881712,64,9.73842562331557,1.07881852444854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saguinus oedipus",1254,9.13004668119638,0.235043948473604,216,10.6929980502568,0.627083230614703,33,8.2447369449718,1.19842246607947,1540,10.2595442209444,0.202243459582191,96,10.7969396565298,0.871473687041622,37,9.27569566495101,1.211692502537
"Saimiri sciureus",1726,11.6248486552647,0.25229369063373,74,14.2363068811239,1.41432973445394,NA,NA,NA,1402,9.1950339090482,0.253884548001388,114,14.1858223553655,1.30871860919954,NA,NA,NA
"Sapajus apella",NA,NA,NA,NA,NA,NA,NA,NA,NA,793,20.5214946901863,0.768416632159671,89,18.2155219672058,1.89023161430905,NA,NA,NA
"Suricata suricatta",2956,6.52704513673635,0.085380611773758,263,8.36749050187372,0.309956640896435,67,6.65407995351933,0.491804770340618,4952,8.18276970040646,0.0763072361538999,270,8.4278335729608,0.327806544043918,69,8.87980820626938,0.661381826242343
"Sus scrofa",NA,NA,NA,NA,NA,NA,NA,NA,NA,269,8.44842740339027,0.384710865196156,30,8.26671375119174,1.02085043310821,NA,NA,NA
"Symphalangus syndactylus",158,20.4226023662859,1.50163620838182,92,25.3439991507494,2.62900851414625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachypithecus cristatus",61,13.1139895043169,1.4167329616024,39,16.3342955294013,2.0612256098044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trachypithecus francoisi",55,12.1547898942036,1.37226198569837,59,12.9514890540632,1.38141620656406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus oryx",NA,NA,NA,NA,NA,NA,NA,NA,NA,1084,7.0188128398405,0.217136360761838,159,9.50422756283147,0.660511010045155,NA,NA,NA
"Tragelaphus strepsiceros",649,6.71481898939027,0.189653050691699,35,6.72781433781337,0.743447390535237,NA,NA,NA,476,4.75329627084981,0.184165498063514,43,5.56477200369416,0.658394138951699,NA,NA,NA
"Ursus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,235,18.1074314244814,0.722115553291045,71,19.6859854342569,1.33886782782078,NA,NA,NA
"Ursus arctos",NA,NA,NA,NA,NA,NA,NA,NA,NA,206,23.5313252362906,0.966800343670158,61,21.7729926947005,1.74217875208101,NA,NA,NA
"Varecia rubra",397,16.2491645534003,0.568646196467289,160,17.4039851334944,1.0254957461089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vicugna pacos",NA,NA,NA,NA,NA,NA,NA,NA,NA,820,12.2342611593253,0.291331457868609,139,11.8748500301623,0.620693702947891,NA,NA,NA
"Vulpes lagopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,206,6.07352562740887,0.284688446622433,31,6.19299676805111,0.705428660789597,NA,NA,NA
"Vulpes vulpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,466,9.26443224241761,0.295713119676256,64,12.1262274814393,1.11277826368144,NA,NA,NA
"Vulpes zerda",NA,NA,NA,NA,NA,NA,NA,NA,NA,478,7.36793483159399,0.177762939613213,40,6.24025892071343,0.519112112664676,NA,NA,NA
"Zalophus californianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,296,12.4834445872691,0.506133561976357,36,10.9131517215443,1.14490490256716,NA,NA,NA
